full_name,email,national_id,role,parent_phone
أحمد محمد العتيبي,ahmed.ot@school.sa,1023456789,student,+966501234567
سارة علي القحطاني,sara.qa@school.sa,1034567890,student,+966502345678
خالد فيصل المطيري,khaled.mt@school.sa,1045678901,student,+966503456789
أمل فهد السبيعي,amal.sb@school.sa,1056789012,teacher,
د. فواز الشمري,fawaz.sh@school.sa,1067890123,teacher,
بندر بن سلطان,bandar.sl@school.sa,1078901234,student,+966504567890
رؤى الغامدي,roa.gh@school.sa,1089012345,student,+966505678901
محمد الشهري,mohammed.sh@school.sa,1090123456,teacher,
ليلى الدوسري,laila.ds@school.sa,1101234567,student,+966506789012
يحيى الزهراني,yahya.zh@school.sa,1112345678,student,+966507890123
